"","y","r_AOO","r_rel_occ_Ncells"
"1","widthMinRect",0.883036835458348,0.339641942547563
"2","ewDist",0.847455550135319,0.30289474405235
"3","maxDist",0.827993145705122,0.271623265476328
"4","nsDist",0.816536478440346,0.276972207747024
"5","lengthMinRect",0.81208425557574,0.274751851265543
"6","a",0.744585480623567,0.897255882930226
"7","maxDist_toBorder_border",0.742151502170553,0.123188745840121
"8","joincount_statistic",0.740451396474193,0.903571165140411
"9","presence_n",0.703693786983041,0.883812855418467
"10","joincount_variance",0.6999028825891,0.781349009537528
"11","morans_I",0.686430670940403,0.150265608345374
"12","joincount_expectation",0.679337274889826,0.958368027319183
"13","atlas_elonRatio",0.67702176651959,0.0910493278292843
"14","Jaccard_dissim",-0.669717448169276,-0.752868348640687
"15","BetaSR_sp",0.661111917319049,0.304999497345173
"16","Total_area_samp",0.648834855969535,-0.145037634364361
"17","atlas_xmin",0.648834855969535,-0.145037634364361
"18","atlas_xmax",0.648834855969535,-0.145037634364361
"19","atlas_xhalf",0.648834855969535,-0.145037634364361
"20","atlas_ymax",0.648834855969535,-0.145037634364361
"21","atlas_yhalf",0.648834855969535,-0.145037634364361
"22","atlas_nsDist",0.648834855969535,-0.145037634364361
"23","atlas_ewDist",0.648834855969535,-0.145037634364361
"24","atlas_maxDist",0.648834855969535,-0.145037634364361
"25","atlas_lengthMinRect",0.648834855969535,-0.145037634364361
"26","atlas_widthMinRect",0.648834855969535,-0.145037634364361
"27","atlas_circ",0.648834855969535,-0.145037634364361
"28","atlas_circNorm",0.648834855969535,-0.145037634364361
"29","atlas_perimeter",0.648834855969535,-0.145037634364361
"30","Dist_centroid_to_COG",0.645652712509785,-0.0218351138787882
"31","maxDist_toBorder_centr",0.635702596576208,-0.0372772972609166
"32","westernnes",0.6323809130461,-0.103640072938701
"33","D_AOO_a",0.628855394257902,0.962752988911592
"34","atlas_ymin",0.61813596279728,-0.107185124103374
"35","GammaSR",0.615702614487271,0.0149597524444518
"36","minDist_toBorder_centr",0.615524972183376,0.132059127530828
"37","rel_occ_Ncells",0.612949075878997,NA
"38","joincount_p_val",-0.604378412118529,-0.0965085666512408
"39","morans_I_p",-0.581481297679077,-0.0953062760287731
"40","relCirc",-0.574994434235158,-0.67936579925293
"41","southerness",0.558604806125095,-0.142495954248194
"42","mean_prob_cooccur",0.520084879855684,0.976389635428991
"43","minDist_toBorder_border",0.518554397353905,-0.0205392154211776
"44","b",0.47020751350695,0.501917260246362
"45","joincount_delta",0.446665579739048,-0.14997936540984
"46","range_centr_lat",0.445827357680899,0.300699324626052
"47","rel_elonRatio",-0.438793936995025,0.0732103106828494
"48","c",0.422172530762127,0.511637989849856
"49","AlphaSR_sp",0.358986335175291,-0.196531858192977
"50","atlas_elonMinRect",0.317439910657322,-0.133147530318335
"51","elonMinRect",-0.308691741785387,-0.273660265013402
"52","atlas_bearing",0.286819651797259,-0.247089615964154
"53","circ",0.278567209121815,0.327499503612978
"54","circNorm",0.278567209121815,0.327499503612978
"55","d",-0.233294809446637,-0.709570803001398
"56","mean_lnLac",-0.227465844267205,-0.869610061191276
"57","rel_circNorm",-0.18021033525606,0.360318522739955
"58","lin",-0.175036000534355,-0.306030192101487
"59","elonRatio",0.155110338703413,0.0618679189523268
"60","joincount_zscore",-0.150357352782945,-0.693391921793759
"61","GlobRangeSize_km2",0.140658546539654,0.2632582157719
"62","atlas_relCirc",0.124461300310565,-0.0555939797345662
"63","rel_ewDist",0.108239209958945,0.742991170250288
"64","rel_maxDist",0.106433690777878,0.730174588583047
"65","Mass",-0.104853803152846,-0.268804530654829
"66","ratio_R2_1",-0.104810858580053,-0.188012001873243
"67","log_R2_1",-0.104751895800087,-0.188033838292157
"68","Total_Ncells",0.0880950526382105,-0.151900301618266
"69","Total_Ncells_samp",0.0880950526382105,-0.151900301618266
"70","atlas_bearingMinRect",0.0880950526382105,-0.151900301618266
"71","atlas_lin",-0.0856617043282022,0.0297554250704399
"72","Hand-Wing.Index",-0.079340558227123,-0.264073473784765
"73","bearing",0.0753365613904372,-0.36411910123081
"74","bearingMinRect",0.0617856849704306,-0.0934938708989028
"75","Beak.Width",-0.060839421236863,-0.137725447623294
"76","PC2_sd",0.0583155946394797,0.122347979285186
"77","PC1_sd",-0.0557045574918083,0.0821634662450332
"78","range_centr_long",0.0448351281629794,-0.094594184828853
"79","rel_nsDist",0.0348622514198317,0.706973096125761
"80","pd",-0.0082754476459426,-0.0875572032405502
"81","rel_lin",-0.0076139065135683,-0.271743795816526
"82","AOO",NA,0.612949075878997
"83","introduced",NA,NA
"84","sp_remove_expert",NA,NA
"85","sp_sampling_repeats",NA,NA
"86","species_keep",NA,NA
