"","skim_type","skim_variable","datasetID","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"245","numeric","atlas_lengthMinRect","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,490152.80229608,0,490152.80229608,490152.80229608,490152.80229608,490152.80229608,490152.80229608,"¨x¨x¨~¨x¨x"
"246","numeric","atlas_lengthMinRect","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,601053.69854025,0,601053.69854025,601053.69854025,601053.69854025,601053.69854025,601053.69854025,"¨x¨x¨~¨x¨x"
"247","numeric","atlas_lengthMinRect","13",2,0.989247311827957,NA,NA,NA,NA,NA,NA,NA,NA,2624654.5420923,0,2624654.5420923,2624654.5420923,2624654.5420923,2624654.5420923,2624654.5420923,"¨x¨x¨~¨x¨x"
"248","numeric","atlas_lengthMinRect","26",7,0.983333333333333,NA,NA,NA,NA,NA,NA,NA,NA,5371162.91731966,0,5371162.91731966,5371162.91731966,5371162.91731966,5371162.91731966,5371162.91731966,"¨x¨x¨~¨x¨x"
"249","numeric","atlas_widthMinRect","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,289191.198499907,0,289191.198499907,289191.198499907,289191.198499907,289191.198499907,289191.198499907,"¨x¨x¨~¨x¨x"
"250","numeric","atlas_widthMinRect","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,524089.168061616,0,524089.168061616,524089.168061616,524089.168061616,524089.168061616,524089.168061616,"¨x¨x¨~¨x¨x"
"251","numeric","atlas_widthMinRect","13",2,0.989247311827957,NA,NA,NA,NA,NA,NA,NA,NA,2473522.52752714,0,2473522.52752714,2473522.52752714,2473522.52752714,2473522.52752714,2473522.52752714,"¨x¨x¨~¨x¨x"
"252","numeric","atlas_widthMinRect","26",7,0.983333333333333,NA,NA,NA,NA,NA,NA,NA,NA,1880430.41519193,0,1880430.41519193,1880430.41519193,1880430.41519193,1880430.41519193,1880430.41519193,"¨x¨x¨~¨x¨x"
"253","numeric","atlas_elonMinRect","5",1,0.995098039215686,NA,NA,NA,NA,NA,NA,NA,NA,0.409997867715507,0,0.409997867715507,0.409997867715507,0.409997867715507,0.409997867715507,0.409997867715507,"¨x¨x¨~¨x¨x"
"254","numeric","atlas_elonMinRect","6",5,0.978991596638655,NA,NA,NA,NA,NA,NA,NA,NA,0.128049341790183,0,0.128049341790183,0.128049341790183,0.128049341790183,0.128049341790183,0.128049341790183,"¨x¨x¨~¨x¨x"
