Haliaeetus albicilla 
Spilornis cheela 
Circus spilonotus 
Accipiter gularis 
Accipiter nisus 
Accipiter gentilis 
Butastur indicus 
Buteo buteo 
Nisaetus nipalensis 
Otus lempiji 
Otus sunia 
Otus elegans 
Strix uralensis 
Ninox scutulata 
Asio otus 
Dendrocopos leucotos 
Dendrocopos major 
Dryocopus martius 
Picus awokera 
Picus canus 
Falco tinnunculus 
Falco subbuteo 
Falco peregrinus 
Zoothera sibirica 
Zoothera dauma 
Caprimulgus indicus 

