"","x"
"1","rel_occ_Ncells"
"2","morans_I"
"3","AOO"
"4","D_AOO_a"
"5","mean_lnLac"
"6","BetaSR_sp"
"7","datasetID"
"8","atlas_elonMinRect"
"9","joincount_delta"
"10","AlphaSR_sp"
"11","GammaSR"
"12","circNorm"
"13","Dist_centroid_to_COG"
"14","rel_lin"
"15","atlas_bearing"
"16","rel_elonRatio"
"17","westernnes"
