"","verbatimIdentification","scientificName","ScientificName2010","ScientificName2018","BirdTree","tip.label"
"525","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius_alexandrinus"
"526","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius_alexandrinus"
"527","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron_formosae"
"528","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron_formosae"
"529","Columba janthina","Columba janthina","Columba janthina","Columba janthina","Columba janthina","Columba_janthina"
"530","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo_tahitica"
"531","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo_tahitica"
"532","Hypsipetes amaurotis","Hypsipetes amaurotis","Ixos amaurotis","Hypsipetes amaurotis","Ixos amaurotis","Ixos_amaurotis"
"533","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Streptopelia_orientalis"
"534","Egretta intermedia","Ardea intermedia","Mesophoyx intermedia","Ardea intermedia","Mesophoyx intermedia","Mesophoyx_intermedia"
"535","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola_juncidis"
"536","Turnix suscitator","Turnix suscitator","Turnix suscitator","Turnix suscitator","Turnix suscitator","Turnix_suscitator"
"537","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps_indica"
"538","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps_indica"
"539","Butastur indicus","Butastur indicus","Butastur indicus","Butastur indicus","Butastur indicus","Butastur_indicus"
"540","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus_cinnamomeus"
"541","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberiza_cioides"
"542","Lanius cristatus","Lanius cristatus","Lanius cristatus","Lanius cristatus","Lanius cristatus","Lanius_cristatus"
"543","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox_scutulata"
"544","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox_scutulata"
"545","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox_scutulata"
"546","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox_scutulata"
"547","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus levaillantii","Corvus_levaillantii"
"548","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus_macrorhynchos"
"549","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Halcyon_coromanda"
"550","Otus sunia","Otus sunia","Otus sunia","Otus sunia","Otus sunia","Otus_sunia"
"551","Sula leucogaster","Sula leucogaster","Sula leucogaster","Sula leucogaster","Sula leucogaster","Sula_leucogaster"
"552","Monticola solitarius","Monticola solitarius","Monticola solitarius","Monticola solitarius","Monticola solitarius","Monticola_solitarius"
"553","Egretta sacra","Egretta sacra","Egretta sacra","Egretta sacra","Egretta sacra","Egretta_sacra"
"554","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula_narcissina"
"555","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula_narcissina"
"556","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina","Ficedula_narcissina"
"557","Spilornis cheela","Spilornis cheela","Spilornis cheela","Spilornis cheela","Spilornis cheela","Spilornis_cheela"
"558","Pericrocotus divaricatus","Pericrocotus divaricatus","Pericrocotus divaricatus","Pericrocotus divaricatus","Pericrocotus divaricatus","Pericrocotus_divaricatus"
"559","Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter gularis","Accipiter_gularis"
"560","Porzana fusca","Zapornia fusca","Porzana fusca","Zapornia fusca","Porzana fusca","Porzana_fusca"
"561","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana","Sterna_sumatrana"
"562","Sterna albifrons","Sternula albifrons","Sterna albifrons","Sternula albifrons","Sterna albifrons","Sterna_albifrons"
"563","Sternula albifrons","Sternula albifrons","Sterna albifrons","Sternula albifrons","Sterna albifrons","Sterna_albifrons"
"564","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus_poliocephalus"
"565","Poecile varius","Sittiparus varius","Parus varius","Sittiparus varius","Parus varius","Parus_varius"
"566","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apus_nipalensis"
"567","Delichon dasypus","Delichon dasypus","Delichon dasypus","Delichon dasypus","Delichon dasypus","Delichon_dasypus"
"568","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum","Glareola_maldivarum"
"569","Hirundo daurica","Cecropis daurica","Hirundo daurica","Cecropis daurica","Hirundo daurica","Hirundo_daurica"
"570","Hirundo daurica","Cecropis daurica","Hirundo daurica","Cecropis daurica","Hirundo daurica","Hirundo_daurica"
"571","Cecropis daurica","Cecropis daurica","Hirundo daurica","Cecropis daurica","Hirundo daurica","Hirundo_daurica"
"572","Hirundo daurica","Cecropis daurica","Hirundo daurica","Cecropis daurica","Hirundo striolata","Hirundo_striolata"
"573","Hirundo daurica","Cecropis daurica","Hirundo daurica","Cecropis daurica","Hirundo striolata","Hirundo_striolata"
"574","Cecropis daurica","Cecropis daurica","Hirundo daurica","Cecropis daurica","Hirundo striolata","Hirundo_striolata"
"575","Luscinia komadori","Larvivora komadori","Erithacus komadori","Larvivora komadori","Erithacus komadori","Erithacus_komadori"
"576","Dendrocopos kizuki","Picoides kizuki","Dendrocopos kizuki","Picoides kizuki","Dendrocopos kizuki","Dendrocopos_kizuki"
"577","Eophona personata","Eophona personata","Eophona personata","Eophona personata","Eophona personata","Eophona_personata"
"578","Spodiopsar cineraceus","Spodiopsar cineraceus","Sturnus cineraceus","Spodiopsar cineraceus","Sturnus cineraceus","Sturnus_cineraceus"
"579","Acrocephalus orientalis","Acrocephalus orientalis","Acrocephalus arundinaceus","Acrocephalus orientalis","Acrocephalus arundinaceus","Acrocephalus_arundinaceus"
"580","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza_spodocephala"
"581","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza_spodocephala"
"582","Otus lempiji","Otus lempiji","Otus bakkamoena","Otus lempiji","Otus lempiji","Otus_lempiji"
"583","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianus_colchicus"
"584","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianus colchicus","Phasianus_colchicus"
"585","Sapheopipo noguchii","Dendrocopos noguchii","Dendrocopos noguchii","Dendrocopos noguchii","Dendrocopos noguchii","Dendrocopos_noguchii"
"586","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger_cyanurus"
"587","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger_cyanurus"
"588","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus","Turdus_chrysolaus"
"589","Scolopax mira","Scolopax mira","Scolopax mira","Scolopax mira","Scolopax mira","Scolopax_mira"
"590","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera_dauma"
"591","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera_dauma"
"592","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera dauma","Zoothera_dauma"
"593","Motacilla grandis","Motacilla grandis","Motacilla grandis","Motacilla grandis","Motacilla grandis","Motacilla_grandis"
"594","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi","Garrulus_lidthi"
"595","Apus pacificus","Apus pacificus","Apus pacificus","Apus pacificus","Apus pacificus","Apus_pacificus"
"596","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis","Eurystomus_orientalis"
"597","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus_bistrigiceps"
"598","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps","Urosphena_squameiceps"
"599","Picus awokera","Picus awokera","Picus awokera","Picus awokera","Picus awokera","Picus_awokera"
"600","Locustella pleskei","Helopsaltes pleskei","Locustella pleskei","Locustella pleskei","Locustella pleskei","Locustella_pleskei"
"601","Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron_sieboldii"
"602","Phylloscopus xanthodryas","Phylloscopus xanthodryas","Phylloscopus borealis","Phylloscopus xanthodryas","Phylloscopus borealis","Phylloscopus_borealis"
"603","Hierococcyx hyperythrus","Hierococcyx hyperythrus","Cuculus fugax","Hierococcyx hyperythrus","Cuculus fugax","Cuculus_fugax"
"604","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa_dauurica"
"605","Chloris sinica","Chloris sinica","Carduelis sinica","Chloris sinica","Carduelis sinica","Carduelis_sinica"
"606","Luscinia akahige","Larvivora akahige","Erithacus akahige","Larvivora akahige","Erithacus akahige","Erithacus_akahige"
"607","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila_cyanomelana"
"608","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila_cyanomelana"
"609","Phalacrocorax capillatus","Phalacrocorax capillatus","Phalacrocorax capillatus","Phalacrocorax capillatus","Phalacrocorax capillatus","Phalacrocorax_capillatus"
"610","Phylloscopus coronatus","Phylloscopus coronatus","Phylloscopus coronatus","Phylloscopus coronatus","Phylloscopus coronatus","Phylloscopus_coronatus"
"611","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris","Megaceryle_lugubris"
"612","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii","Cinclus_pallasii"
"613","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus_caudacutus"
"614","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas","Calonectris leucomelas","Calonectris_leucomelas"
"615","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus_soemmerringii"
"616","Larus crassirostris","Larus crassirostris","Larus crassirostris","Larus crassirostris","Larus crassirostris","Larus_crassirostris"
"617","Luscinia calliope","Calliope calliope","Luscinia calliope","Calliope calliope","Luscinia calliope","Luscinia_calliope"
"618","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus_indicus"
"619","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus_indicus"
"620","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus indicus","Caprimulgus_indicus"
"621","Pernis ptilorhynchus","Pernis ptilorhynchus","Pernis ptilorhyncus","Pernis ptilorhynchus","Pernis ptilorhyncus","Pernis_ptilorhyncus"
"622","Anas falcata","Mareca falcata","Anas falcata","Mareca falcata","Anas falcata","Anas_falcata"
"623","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus_nipalensis"
"624","Pitta nympha","Pitta nympha","Pitta nympha","Pitta nympha","Pitta nympha","Pitta_nympha"
"625","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis","Emberiza_variabilis"
"626","Zoothera sibirica","Geokichla sibirica","Zoothera sibirica","Geokichla sibirica","Zoothera sibirica","Zoothera_sibirica"
"627","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni","Anthus hodgsoni","Anthus_hodgsoni"
"628","Passer rutilans","Passer cinnamomeus","Passer rutilans","Passer cinnamomeus","Passer rutilans","Passer_rutilans"
"629","Emberiza elegans","Emberiza elegans","Emberiza elegans","Emberiza elegans","Emberiza elegans","Emberiza_elegans"
"630","Turdus cardis","Turdus cardis","Turdus cardis","Turdus cardis","Turdus cardis","Turdus_cardis"
"631","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberiza_fucata"
"632","Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata","Aix galericulata","Aix_galericulata"
"633","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus_sinensis"
"634","Charadrius placidus","Charadrius placidus","Charadrius placidus","Charadrius placidus","Charadrius placidus","Charadrius_placidus"
"635","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis","Rostratula_benghalensis"
"636","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica","Muscicapa_sibirica"
"637","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus","Vanellus_cinereus"
"638","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi","Gorsachius_goisagi"
"639","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis","Emberiza_yessoensis"
"640","Agropsar philippensis","Agropsar philippensis","Sturnus philippensis","Agropsar philippensis","Sturnus philippensis","Sturnus_philippensis"
"641","Psittacula krameri","Alexandrinus krameri","Psittacula krameri","Psittacula krameri",NA,NA
"642","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus","Lanius_tigrinus"
"643","Synthliboramphus wumizusume","Synthliboramphus wumizusume","Synthliboramphus wumizusume","Synthliboramphus wumizusume","Synthliboramphus wumizusume","Synthliboramphus_wumizusume"
"644","Luscinia cyane","Larvivora cyane","Luscinia cyane","Larvivora cyane","Luscinia cyane","Luscinia_cyane"
"645","Larus schistisagus","Larus schistisagus","Larus schistisagus","Larus schistisagus","Larus schistisagus","Larus_schistisagus"
"646","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus_spilonotus"
"647","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus_spilonotus"
"648","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii","Gallinago_hardwickii"
"649","Uragus sibiricus","Carpodacus sibiricus","Uragus sibiricus","Carpodacus sibiricus","Uragus sibiricus","Uragus_sibiricus"
"650","Mergellus albellus","Mergellus albellus","Mergellus albellus","Mergellus albellus","Mergellus albellus","Mergellus_albellus"
"651","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus_antiquus"
"652","Phalacrocorax pelagicus","Urile pelagicus","Phalacrocorax pelagicus","Urile pelagicus","Phalacrocorax pelagicus","Phalacrocorax_pelagicus"
"653","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus_histrionicus"
"654","Phylloscopus borealoides","Phylloscopus borealoides","Phylloscopus borealoides","Phylloscopus borealoides","Phylloscopus borealoides","Phylloscopus_borealoides"
"655","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata","Emberiza_sulphurata"
"656","Coturnix japonica","Coturnix japonica","Coturnix japonica","Coturnix japonica","Coturnix japonica","Coturnix_japonica"
"657","Prunella rubida","Prunella rubida","Prunella rubida","Prunella rubida","Prunella rubida","Prunella_rubida"
"658","Oceanodroma monorhis","Hydrobates monorhis","Oceanodroma monorhis","Hydrobates monorhis","Oceanodroma monorhis","Oceanodroma_monorhis"
"659","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza_aureola"
"660","Porzana pusilla","Zapornia pusilla","Porzana pusilla","Zapornia pusilla","Porzana pusilla","Porzana_pusilla"
"661","Zapornia pusilla","Zapornia pusilla","Porzana pusilla","Zapornia pusilla","Porzana pusilla","Porzana_pusilla"
"662","Locustella fasciolata","Helopsaltes fasciolatus","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata","Locustella_fasciolata"
"663","Locustella fasciolata","Helopsaltes fasciolatus","Locustella fasciolata","Locustella amnicola","Locustella fasciolata","Locustella_fasciolata"
"664","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica_cyanus"
"665","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica_cyanus"
"666","Locustella ochotensis","Helopsaltes ochotensis","Locustella ochotensis","Locustella ochotensis","Locustella ochotensis","Locustella_ochotensis"
"667","Lagopus muta","Lagopus muta","Lagopus muta","Lagopus muta","Lagopus muta","Lagopus_muta"
"668","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata","Locustella_lanceolata"
"669","Locustella pryeri","Helopsaltes pryeri","Locustella pryeri","Locustella pryeri","Locustella pryeri","Locustella_pryeri"
"670","Oceanodroma leucorhoa","Hydrobates leucorhous","Oceanodroma leucorhoa","Hydrobates leucorhous","Oceanodroma leucorhoa","Oceanodroma_leucorhoa"
"671","Oceanodroma leucorhoa","Hydrobates leucorhous","Oceanodroma leucorhoa","Hydrobates leucorhous","Oceanodroma leucorhoa","Oceanodroma_leucorhoa"
"672","Oceanodroma leucorhoa","Hydrobates leucorhous","Oceanodroma leucorhoa","Hydrobates leucorhous","Oceanodroma leucorhoa","Oceanodroma_leucorhoa"
"673","Hydrobates leucorhous","Hydrobates leucorhous","Oceanodroma leucorhoa","Hydrobates leucorhous","Oceanodroma leucorhoa","Oceanodroma_leucorhoa"
"674","Oceanodroma castro","Hydrobates castro","Oceanodroma castro","Hydrobates castro","Oceanodroma castro","Oceanodroma_castro"
"675","Oceanodroma castro","Hydrobates castro","Oceanodroma castro","Hydrobates castro","Oceanodroma castro","Oceanodroma_castro"
"676","Hydrobates castro","Hydrobates castro","Oceanodroma castro","Hydrobates castro","Oceanodroma castro","Oceanodroma_castro"
"677","Grus japonensis","Grus japonensis","Grus japonensis","Grus japonensis","Grus japonensis","Grus_japonensis"
"678","Cepphus carbo","Cepphus carbo","Cepphus carbo","Cepphus carbo","Cepphus carbo","Cepphus_carbo"
"679","Pinicola enucleator","Pinicola enucleator","Pinicola enucleator","Pinicola enucleator","Pinicola enucleator","Pinicola_enucleator"
"680","Uria aalge","Uria aalge","Uria aalge","Uria aalge","Uria aalge","Uria_aalge"
"681","Phalacrocorax urile","Urile urile","Phalacrocorax urile","Urile urile","Phalacrocorax urile","Phalacrocorax_urile"
"682","Fratercula cirrhata","Fratercula cirrhata","Fratercula cirrhata","Fratercula cirrhata","Fratercula cirrhata","Fratercula_cirrhata"
"683","Calonectris borealis","Calonectris borealis","Calonectris diomedea","Calonectris borealis","Calonectris diomedea","Calonectris_diomedea"
"684","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus_lherminieri"
"685","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus_lherminieri"
"686","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus_lherminieri"
"687","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus_lherminieri"
"688","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus lherminieri","Puffinus_lherminieri"
"689","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis","Larus_michahellis"
"690","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis","Larus_michahellis"
"691","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii","Bulweria bulwerii","Bulweria_bulwerii"
"692","Puffinus puffinus","Puffinus puffinus","Puffinus puffinus","Puffinus puffinus","Puffinus puffinus","Puffinus_puffinus"
"693","Falco rusticolus","Falco rusticolus","Falco rusticolus","Falco rusticolus","Falco rusticolus","Falco_rusticolus"
"694","Falco columbarius","Falco columbarius","Falco columbarius","Falco columbarius","Falco columbarius","Falco_columbarius"
"695","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius_parasiticus"
"696","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax nivalis","Plectrophenax_nivalis"
"697","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Rissa_tridactyla"
"698","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","Larus_hyperboreus"
"699","Numenius phaeopus","Numenius phaeopus","Numenius phaeopus","Numenius phaeopus","Numenius phaeopus","Numenius_phaeopus"
"700","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula","Charadrius_hiaticula"
"701","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Cygnus_cygnus"
"702","Aythya marila","Aythya marila","Aythya marila","Aythya marila","Aythya marila","Aythya_marila"
"703","Calidris maritima","Calidris maritima","Calidris maritima","Calidris maritima","Calidris maritima","Calidris_maritima"
"704","Gavia stellata","Gavia stellata","Gavia stellata","Gavia stellata","Gavia stellata","Gavia_stellata"
"705","Cepphus grylle","Cepphus grylle","Cepphus grylle","Cepphus grylle","Cepphus grylle","Cepphus_grylle"
"706","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Sterna_paradisaea"
"707","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis","Fulmarus_glacialis"
"708","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopus_ostralegus"
"709","Calidris alpina","Calidris alpina","Calidris alpina","Calidris alpina","Calidris alpina","Calidris_alpina"
"710","Phalaropus lobatus","Phalaropus lobatus","Phalaropus lobatus","Phalaropus lobatus","Phalaropus lobatus","Phalaropus_lobatus"
"711","Somateria mollissima","Somateria mollissima","Somateria mollissima","Somateria mollissima","Somateria mollissima","Somateria_mollissima"
"712","Pluvialis apricaria","Pluvialis apricaria","Pluvialis apricaria","Pluvialis apricaria","Pluvialis apricaria","Pluvialis_apricaria"
"713","Mareca penelope","Mareca penelope","Anas penelope","Mareca penelope","Anas penelope","Anas_penelope"
"714","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Clangula_hyemalis"
"715","Morus bassanus","Morus bassanus","Morus bassanus","Morus bassanus","Morus bassanus","Morus_bassanus"
"716","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Tadorna_tadorna"
"717","Fratercula arctica","Fratercula arctica","Fratercula arctica","Fratercula arctica","Fratercula arctica","Fratercula_arctica"
"718","Gulosus aristotelis","Gulosus aristotelis","Phalacrocorax aristotelis","Gulosus aristotelis","Phalacrocorax aristotelis","Phalacrocorax_aristotelis"
"719","Uria lomvia","Uria lomvia","Uria lomvia","Uria lomvia","Uria lomvia","Uria_lomvia"
"720","Larus fuscus","Larus fuscus","Larus fuscus","Larus fuscus","Larus fuscus","Larus_fuscus"
"721","Alca torda","Alca torda","Alca torda","Alca torda","Alca torda","Alca_torda"
"722","Catharacta skua","Catharacta skua","Catharacta skua","Catharacta skua","Catharacta skua","Catharacta_skua"
"723","Phalaropus fulicarius","Phalaropus fulicarius","Phalaropus fulicarius","Phalaropus fulicarius","Phalaropus fulicarius","Phalaropus_fulicarius"
"724","Podiceps auritus","Podiceps auritus","Podiceps auritus","Podiceps auritus","Podiceps auritus","Podiceps_auritus"
"725","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anser_brachyrhynchus"
"726","Anthus petrosus","Anthus petrosus","Anthus petrosus","Anthus petrosus","Anthus petrosus","Anthus_petrosus"
"727","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates_pelagicus"
"728","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla","Fringilla_montifringilla"
"729","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella_brachydactyla"
"730","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella brachydactyla","Calandrella_brachydactyla"
"731","Emberiza cia","Emberiza cia","Emberiza cia","Emberiza cia","Emberiza cia","Emberiza_cia"
"732","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta","Hippolais_polyglotta"
"733","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor","Sturnus_unicolor"
"734","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberiza_cirlus"
"735","Petronia petronia","Petronia petronia","Petronia petronia","Petronia petronia","Petronia petronia","Petronia_petronia"
"736","Ptyonoprogne rupestris","Ptyonoprogne rupestris","Hirundo rupestris","Ptyonoprogne rupestris","Hirundo rupestris","Hirundo_rupestris"
"737","Tachymarptis melba","Tachymarptis melba","Tachymarptis melba","Tachymarptis melba","Tachymarptis melba","Tachymarptis_melba"
