"","verbatimIdentification","scientificName","ScientificName2010","ScientificName2018","BirdTree","tip.label"
"362","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella_carolinensis"
"363","Dryocopus pileatus","Hylatomus pileatus","Dryocopus pileatus","Hylatomus pileatus","Dryocopus pileatus","Dryocopus_pileatus"
"364","Vermivora pinus","Vermivora cyanoptera","Vermivora pinus","Vermivora cyanoptera","Vermivora pinus","Vermivora_pinus"
"365","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius_phoeniceus"
"366","Sialia sialis","Sialia sialis","Sialia sialis","Sialia sialis","Sialia sialis","Sialia_sialis"
"367","Pheucticus ludovicianus","Pheucticus ludovicianus","Pheucticus ludovicianus","Pheucticus ludovicianus","Pheucticus ludovicianus","Pheucticus_ludovicianus"
"368","Certhia americana","Certhia americana","Certhia americana","Certhia americana","Certhia americana","Certhia_americana"
"369","Dendroica caerulescens","Setophaga caerulescens","Dendroica caerulescens","Setophaga caerulescens","Dendroica caerulescens","Dendroica_caerulescens"
"370","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus_bicolor"
"371","Dendroica virens","Setophaga virens","Dendroica virens","Setophaga virens","Dendroica virens","Dendroica_virens"
"372","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix sponsa","Aix_sponsa"
"373","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Tachycineta_bicolor"
"374","Oporornis philadelphia","Geothlypis philadelphia","Oporornis philadelphia","Geothlypis philadelphia","Oporornis philadelphia","Oporornis_philadelphia"
"375","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Melospiza_georgiana"
"376","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Myiarchus_crinitus"
"377","Dendroica fusca","Setophaga fusca","Dendroica fusca","Setophaga fusca","Dendroica fusca","Dendroica_fusca"
"378","Branta canadensis","Branta canadensis","Branta canadensis","Branta canadensis","Branta canadensis","Branta_canadensis"
"379","Empidonax traillii","Empidonax traillii","Empidonax traillii","Empidonax traillii","Empidonax traillii","Empidonax_traillii"
"380","Vireo solitarius","Vireo solitarius","Vireo solitarius","Vireo solitarius","Vireo solitarius","Vireo_solitarius"
"381","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","Accipiter_cooperii"
"382","Picoides villosus","Leuconotopicus villosus","Picoides villosus","Leuconotopicus villosus","Picoides villosus","Picoides_villosus"
"383","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus_spurius"
"384","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus_spurius"
"385","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx_serripennis"
"386","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx_serripennis"
"387","Seiurus noveboracensis","Parkesia noveboracensis","Seiurus noveboracensis","Parkesia noveboracensis","Seiurus noveboracensis","Seiurus_noveboracensis"
"388","Buteo lineatus","Buteo lineatus","Buteo lineatus","Buteo lineatus","Buteo lineatus","Buteo_lineatus"
"389","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus guttatus","Catharus_guttatus"
"390","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus_erythropthalmus"
"391","Gallinago delicata","Gallinago delicata","Gallinago gallinago","Gallinago delicata","Gallinago gallinago","Gallinago_gallinago"
"392","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas rubripes","Anas_rubripes"
"393","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter chionogaster","Accipiter_chionogaster"
"394","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter erythronemius","Accipiter_erythronemius"
"395","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter_striatus"
"396","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter striatus","Accipiter ventralis","Accipiter_ventralis"
"397","Scolopax minor","Scolopax minor","Scolopax minor","Scolopax minor","Scolopax minor","Scolopax_minor"
"398","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis macularius","Actitis_macularius"
"399","Protonotaria citrea","Protonotaria citrea","Protonotaria citrea","Protonotaria citrea","Protonotaria citrea","Protonotaria_citrea"
"400","Fulica americana","Fulica americana","Fulica americana","Fulica americana","Fulica americana","Fulica_americana"
"401","Fulica americana","Fulica americana","Fulica americana","Fulica americana","Fulica caribaea","Fulica_caribaea"
"402","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Petrochelidon_pyrrhonota"
"403","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes_erythrocephalus"
"404","Zonotrichia albicollis","Zonotrichia albicollis","Zonotrichia albicollis","Zonotrichia albicollis","Zonotrichia albicollis","Zonotrichia_albicollis"
